Task | Success rate | Errors
bucket | 100.0% | [] 
bucket-bucket_log | 100.0% | [] 
bucket-bucket_object | 0.0% | [0, 16, 35, 59] 
bucket_state_import | 98.33333333333333% | [28] 
customer_gateway | 100.0% | [] 
data_ami | 0.0% | [0, 1, 4, 10, 11, 12, 14, 16, 17, 37] 
data_ami-instance | 0.0% | [0, 1, 10, 13, 18, 42] 
db_instance | 0.0% | [0, 2, 10, 13, 24, 40, 46] 
elb | 0.0% | [0, 1, 3, 5, 10, 13, 16, 17, 18, 19, 25, 28, 30, 44, 53, 54] 
iam_user | 0.0% | [0, 12, 14, 41] 
instance | 100.0% | [] 
instance-output_dns | 100.0% | [] 
instance-output_ip | 100.0% | [] 
instance-time | 0.0% | [0, 11, 13, 14, 21] 
instance_before_destroy | 96.66666666666667% | [2] 
instance_connection | 100.0% | [] 
instance_count | 100.0% | [] 
instance_ignore_tags | 100.0% | [] 
instance_prevent_destroy | 96.66666666666667% | [6, 33] 
instance_zone_1 | 100.0% | [] 
instance_zone_2 | 100.0% | [] 
provider-vpc-vpc | 80.0% | [0, 13, 16] 
random_pet-bucket | 100.0% | [] 
required_version | 100.0% | [] 
security_lots | 18.333333333333332% | [0, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 25, 26, 27, 28, 30, 33, 35, 36, 37, 38, 40, 42, 43, 45, 50, 52, 53, 54, 55, 59] 
security_ssh | 0.0% | [0, 1, 2, 3, 4, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 31, 32, 33, 35, 37, 38, 39, 40, 42, 43, 45, 47, 49, 50, 52, 53, 54, 55, 56, 57, 59] 
security_ssh-instance | 0.0% | [0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 25, 26, 27, 29, 30, 32, 33, 34, 35, 36, 37, 39, 40, 41, 44, 46, 47, 48, 49, 50, 51, 52, 54, 55, 56, 58, 59] 
security_web | 0.0% | [0, 1, 5, 8, 9, 10, 11, 12, 14, 15, 16, 18, 19, 21, 22, 23, 27, 30, 36, 37, 39, 40, 41, 44, 45, 46, 47, 48, 51, 52, 53, 54, 58, 59] 
security_web-instance | 0.0% | [0, 1, 2, 4, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 50, 51, 53, 54, 55, 57] 
service_quota | 100.0% | [] 
variable-instance | 100.0% | [] 
variable-security_ssh-security_web-instance | 0.0% | [0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 22, 25, 27, 28, 29, 30, 31, 32, 33, 34, 35, 37, 38, 41, 43, 45, 46, 47, 48, 49, 51, 52, 54, 57, 59] 
variable_condition | 0.0% | [0, 1, 2, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 23, 24, 27, 30, 34, 35, 36, 37, 38, 39, 42, 43, 45, 47, 48, 50, 51, 53, 54, 56] 
variable_map | 100.0% | [] 
variable_region | 100.0% | [] 
vpc | 100.0% | [] 
vpc-default_network_acl | 46.666666666666664% | [0, 7, 12, 15, 16, 20, 22, 30, 49, 53] 
vpc-egress_only_internet_gateway | 100.0% | [] 
vpc-gateway | 71.66666666666667% | [15, 17, 53] 
vpc-gateway-instance-eip | 11.666666666666666% | [0, 1, 2, 3, 4, 8, 10, 16, 19, 25, 27, 30, 31, 33, 36, 38, 39, 44, 45, 47, 48, 49, 50, 52, 54, 56, 58, 59] 
vpc-gateway-route_table-route | 88.33333333333333% | [3, 5, 13, 39, 51] 
vpc-service_discovery_private_dns | 100.0% | [] 
vpc-subnet | 66.66666666666666% | [2, 3, 8, 14, 17, 19, 21, 40, 41, 45, 46, 50] 
vpc-subnet-instance | 8.333333333333332% | [0, 1, 2, 11, 12, 18, 19, 38, 40, 47, 50, 54, 56] 
vpc-subnet-nat | 0.0% | [0, 1, 3, 4, 7, 8, 9, 10, 11, 13, 14, 15, 17, 18, 20, 25, 26, 28, 29, 30, 31, 33, 34, 35, 36, 41, 43, 47, 50, 52, 56, 57] 
vpc-vpn-customer_gateway | 100.0% | [] 
vpc-vpn-customer_gateway-connection | 100.0% | [] 
wafv2_ip_set | 96.66666666666667% | [31, 41] 
workspaces_ip_group | 68.33333333333333% | [4, 12, 14, 19, 20, 33, 37, 39] 
Average success rate 62.210884353741505%
